"","Identifier","Frequency","mean_absorbance","studies"
"51","Abur_2014",1382.81005859375,0.638200162455093,"Abur et al. (2014) N=7; HearID"
"52","Abur_2014",1406.25,0.640954140313836,"Abur et al. (2014) N=7; HearID"
"53","Abur_2014",1429.68994140625,0.643302150937014,"Abur et al. (2014) N=7; HearID"
"54","Abur_2014",1453.11999511719,0.645200649666232,"Abur et al. (2014) N=7; HearID"
"55","Abur_2014",1476.56005859375,0.647546789673872,"Abur et al. (2014) N=7; HearID"
"56","Abur_2014",1500,0.653663208318311,"Abur et al. (2014) N=7; HearID"
"57","Abur_2014",1523.43994140625,0.656799674380657,"Abur et al. (2014) N=7; HearID"
"58","Abur_2014",1546.88000488281,0.659728153500446,"Abur et al. (2014) N=7; HearID"
"59","Abur_2014",1570.31005859375,0.662692406842875,"Abur et al. (2014) N=7; HearID"
"60","Abur_2014",1593.75,0.665133128679076,"Abur et al. (2014) N=7; HearID"
"61","Abur_2014",1617.18994140625,0.667686689038609,"Abur et al. (2014) N=7; HearID"
"62","Abur_2014",1640.61999511719,0.670988119965376,"Abur et al. (2014) N=7; HearID"
"63","Abur_2014",1664.06005859375,0.671433303245278,"Abur et al. (2014) N=7; HearID"
"64","Abur_2014",1687.5,0.673745219790658,"Abur et al. (2014) N=7; HearID"
"65","Abur_2014",1710.93994140625,0.676739873234616,"Abur et al. (2014) N=7; HearID"
"66","Abur_2014",1734.38000488281,0.679595428843831,"Abur et al. (2014) N=7; HearID"
"67","Abur_2014",1757.81005859375,0.68057728749375,"Abur et al. (2014) N=7; HearID"
"68","Abur_2014",1781.25,0.681508533829866,"Abur et al. (2014) N=7; HearID"
"69","Abur_2014",1804.68994140625,0.681496558840885,"Abur et al. (2014) N=7; HearID"
"70","Abur_2014",1828.11999511719,0.681537617777669,"Abur et al. (2014) N=7; HearID"
"71","Abur_2014",1851.56005859375,0.683044895183208,"Abur et al. (2014) N=7; HearID"
"72","Abur_2014",1875,0.687570837348007,"Abur et al. (2014) N=7; HearID"
"73","Abur_2014",1898.43994140625,0.693838514907416,"Abur et al. (2014) N=7; HearID"
"74","Abur_2014",1921.88000488281,0.6991514989803,"Abur et al. (2014) N=7; HearID"
"75","Abur_2014",1945.31005859375,0.699727127718371,"Abur et al. (2014) N=7; HearID"
"76","Abur_2014",1968.75,0.701004197777704,"Abur et al. (2014) N=7; HearID"
"77","Abur_2014",1992.18994140625,0.701107933077701,"Abur et al. (2014) N=7; HearID"
"78","Abur_2014",2015.61999511719,0.702716197385344,"Abur et al. (2014) N=7; HearID"
"79","Abur_2014",2039.06005859375,0.706747394315032,"Abur et al. (2014) N=7; HearID"
"80","Abur_2014",2062.5,0.703167628756789,"Abur et al. (2014) N=7; HearID"
"81","Abur_2014",2085.93994140625,0.703190208174462,"Abur et al. (2014) N=7; HearID"
"82","Abur_2014",2109.3798828125,0.702633093955905,"Abur et al. (2014) N=7; HearID"
"83","Abur_2014",2132.81005859375,0.701071329588114,"Abur et al. (2014) N=7; HearID"
"84","Abur_2014",2156.25,0.699690197442853,"Abur et al. (2014) N=7; HearID"
"85","Abur_2014",2179.68994140625,0.698693581791811,"Abur et al. (2014) N=7; HearID"
"86","Abur_2014",2203.1201171875,0.697663882444071,"Abur et al. (2014) N=7; HearID"
"87","Abur_2014",2226.56005859375,0.697086978443833,"Abur et al. (2014) N=7; HearID"
"88","Abur_2014",2250,0.695748895060184,"Abur et al. (2014) N=7; HearID"
"89","Abur_2014",2273.43994140625,0.695818887200466,"Abur et al. (2014) N=7; HearID"
"90","Abur_2014",2296.8798828125,0.695106256146764,"Abur et al. (2014) N=7; HearID"
"91","Abur_2014",2320.31005859375,0.693560731272365,"Abur et al. (2014) N=7; HearID"
"92","Abur_2014",2343.75,0.692285918912222,"Abur et al. (2014) N=7; HearID"
"93","Abur_2014",2367.18994140625,0.691177676583445,"Abur et al. (2014) N=7; HearID"
"94","Abur_2014",2390.6201171875,0.689993987596312,"Abur et al. (2014) N=7; HearID"
"95","Abur_2014",2414.06005859375,0.688401639114979,"Abur et al. (2014) N=7; HearID"
"96","Abur_2014",2437.5,0.687521613614504,"Abur et al. (2014) N=7; HearID"
"97","Abur_2014",2460.93994140625,0.6872789637987,"Abur et al. (2014) N=7; HearID"
"98","Abur_2014",2484.3798828125,0.687456812969474,"Abur et al. (2014) N=7; HearID"
"99","Abur_2014",2507.81005859375,0.688688173543575,"Abur et al. (2014) N=7; HearID"
"100","Abur_2014",2531.25,0.690333806151567,"Abur et al. (2014) N=7; HearID"
"101","Abur_2014",2554.68994140625,0.694498199709626,"Abur et al. (2014) N=7; HearID"
"102","Abur_2014",2578.1201171875,0.690856487945069,"Abur et al. (2014) N=7; HearID"
"103","Abur_2014",2601.56005859375,0.691413533895515,"Abur et al. (2014) N=7; HearID"
"104","Abur_2014",2625,0.692597709422888,"Abur et al. (2014) N=7; HearID"
"105","Abur_2014",2648.43994140625,0.692198701722677,"Abur et al. (2014) N=7; HearID"
"106","Abur_2014",2671.8798828125,0.69100462974504,"Abur et al. (2014) N=7; HearID"
"107","Abur_2014",2695.31005859375,0.690925940178161,"Abur et al. (2014) N=7; HearID"
"108","Abur_2014",2718.75,0.689585069584292,"Abur et al. (2014) N=7; HearID"
"109","Abur_2014",2742.18994140625,0.688135689427686,"Abur et al. (2014) N=7; HearID"
"110","Abur_2014",2765.6201171875,0.688300719094831,"Abur et al. (2014) N=7; HearID"
"111","Abur_2014",2789.06005859375,0.688128823804301,"Abur et al. (2014) N=7; HearID"
"112","Abur_2014",2812.5,0.68760636240937,"Abur et al. (2014) N=7; HearID"
"113","Abur_2014",2835.93994140625,0.687542919502702,"Abur et al. (2014) N=7; HearID"
"114","Abur_2014",2859.3798828125,0.68854678820732,"Abur et al. (2014) N=7; HearID"
"115","Abur_2014",2882.81005859375,0.690345684109732,"Abur et al. (2014) N=7; HearID"
"116","Abur_2014",2906.25,0.690779799292254,"Abur et al. (2014) N=7; HearID"
"117","Abur_2014",2929.68994140625,0.69269330695618,"Abur et al. (2014) N=7; HearID"
"118","Abur_2014",2953.1201171875,0.694692092232926,"Abur et al. (2014) N=7; HearID"
"119","Abur_2014",2976.56005859375,0.696809302582297,"Abur et al. (2014) N=7; HearID"
"120","Abur_2014",3000,0.69784159334593,"Abur et al. (2014) N=7; HearID"
"121","Abur_2014",3023.43994140625,0.700446278549904,"Abur et al. (2014) N=7; HearID"
"122","Abur_2014",3046.8798828125,0.702410684422005,"Abur et al. (2014) N=7; HearID"
"123","Abur_2014",3070.31005859375,0.70375331473905,"Abur et al. (2014) N=7; HearID"
"124","Abur_2014",3093.75,0.705037406017614,"Abur et al. (2014) N=7; HearID"
"125","Abur_2014",3117.18994140625,0.708329244408497,"Abur et al. (2014) N=7; HearID"
"126","Abur_2014",3140.6201171875,0.70790238505186,"Abur et al. (2014) N=7; HearID"
"127","Abur_2014",3164.06005859375,0.708735254961391,"Abur et al. (2014) N=7; HearID"
"128","Abur_2014",3187.5,0.709715244035388,"Abur et al. (2014) N=7; HearID"
"129","Abur_2014",3210.93994140625,0.709392079780268,"Abur et al. (2014) N=7; HearID"
"130","Abur_2014",3234.3798828125,0.709432941190032,"Abur et al. (2014) N=7; HearID"
"131","Abur_2014",3257.81005859375,0.709766647496889,"Abur et al. (2014) N=7; HearID"
"132","Abur_2014",3281.25,0.709122200691423,"Abur et al. (2014) N=7; HearID"
"133","Abur_2014",3304.68994140625,0.710552221467329,"Abur et al. (2014) N=7; HearID"
"134","Abur_2014",3328.1201171875,0.708857968449593,"Abur et al. (2014) N=7; HearID"
"135","Abur_2014",3351.56005859375,0.708696210453677,"Abur et al. (2014) N=7; HearID"
"136","Abur_2014",3375,0.706939334786216,"Abur et al. (2014) N=7; HearID"
"137","Abur_2014",3398.43994140625,0.705530138383078,"Abur et al. (2014) N=7; HearID"
"138","Abur_2014",3421.8798828125,0.705549176349196,"Abur et al. (2014) N=7; HearID"
"139","Abur_2014",3445.31005859375,0.703752255023912,"Abur et al. (2014) N=7; HearID"
"140","Abur_2014",3468.75,0.703162536891394,"Abur et al. (2014) N=7; HearID"
"141","Abur_2014",3492.18994140625,0.700476269042769,"Abur et al. (2014) N=7; HearID"
"142","Abur_2014",3515.6201171875,0.701171094595,"Abur et al. (2014) N=7; HearID"
"143","Abur_2014",3539.06005859375,0.68929191977652,"Abur et al. (2014) N=7; HearID"
"144","Abur_2014",3562.5,0.697251105031302,"Abur et al. (2014) N=7; HearID"
"145","Abur_2014",3585.93994140625,0.692466895420884,"Abur et al. (2014) N=7; HearID"
"146","Abur_2014",3609.3798828125,0.693718884746696,"Abur et al. (2014) N=7; HearID"
"147","Abur_2014",3632.81005859375,0.690646326299324,"Abur et al. (2014) N=7; HearID"
"148","Abur_2014",3656.25,0.68676010294016,"Abur et al. (2014) N=7; HearID"
"149","Abur_2014",3679.68994140625,0.685692746278852,"Abur et al. (2014) N=7; HearID"
"150","Abur_2014",3703.1201171875,0.682974339397841,"Abur et al. (2014) N=7; HearID"
"151","Abur_2014",3726.56005859375,0.678471372051294,"Abur et al. (2014) N=7; HearID"
"152","Abur_2014",3750,0.677718813336173,"Abur et al. (2014) N=7; HearID"
"153","Abur_2014",3773.43994140625,0.676177533386752,"Abur et al. (2014) N=7; HearID"
"154","Abur_2014",3796.8798828125,0.671100498112135,"Abur et al. (2014) N=7; HearID"
"155","Abur_2014",3820.31005859375,0.669075346703446,"Abur et al. (2014) N=7; HearID"
"156","Abur_2014",3843.75,0.664173999238153,"Abur et al. (2014) N=7; HearID"
"157","Abur_2014",3867.18994140625,0.664419734027497,"Abur et al. (2014) N=7; HearID"
"158","Abur_2014",3890.6201171875,0.660806417898383,"Abur et al. (2014) N=7; HearID"
"159","Abur_2014",3914.06005859375,0.658920701679795,"Abur et al. (2014) N=7; HearID"
"160","Abur_2014",3937.5,0.658086837724198,"Abur et al. (2014) N=7; HearID"
"161","Abur_2014",3960.93994140625,0.648069008751664,"Abur et al. (2014) N=7; HearID"
"162","Abur_2014",3984.3798828125,0.650013571821673,"Abur et al. (2014) N=7; HearID"
"163","Abur_2014",4007.81005859375,0.644318032056786,"Abur et al. (2014) N=7; HearID"
"164","Abur_2014",4031.25,0.646169383511987,"Abur et al. (2014) N=7; HearID"
"165","Abur_2014",4054.68994140625,0.64186501061154,"Abur et al. (2014) N=7; HearID"
"166","Abur_2014",4078.1201171875,0.633276442455691,"Abur et al. (2014) N=7; HearID"
"167","Abur_2014",4101.56005859375,0.632800534454196,"Abur et al. (2014) N=7; HearID"
"168","Abur_2014",4125,0.627965579978948,"Abur et al. (2014) N=7; HearID"
"169","Abur_2014",4148.43994140625,0.624342140503401,"Abur et al. (2014) N=7; HearID"
"170","Abur_2014",4171.8798828125,0.623205847431754,"Abur et al. (2014) N=7; HearID"
"171","Abur_2014",4195.31005859375,0.620578210540982,"Abur et al. (2014) N=7; HearID"
"172","Abur_2014",4218.75,0.612847045930319,"Abur et al. (2014) N=7; HearID"
"173","Abur_2014",4242.18994140625,0.611999627982461,"Abur et al. (2014) N=7; HearID"
"174","Abur_2014",4265.6201171875,0.607412163428096,"Abur et al. (2014) N=7; HearID"
"175","Abur_2014",4289.06005859375,0.606185303264579,"Abur et al. (2014) N=7; HearID"
"176","Abur_2014",4312.5,0.602588907144097,"Abur et al. (2014) N=7; HearID"
"177","Abur_2014",4335.93994140625,0.596282419250455,"Abur et al. (2014) N=7; HearID"
"178","Abur_2014",4359.3798828125,0.597865335470022,"Abur et al. (2014) N=7; HearID"
"179","Abur_2014",4382.81005859375,0.587003729804311,"Abur et al. (2014) N=7; HearID"
"180","Abur_2014",4406.25,0.585457964172197,"Abur et al. (2014) N=7; HearID"
"181","Abur_2014",4429.68994140625,0.578718555008256,"Abur et al. (2014) N=7; HearID"
"182","Abur_2014",4453.1201171875,0.577249872649825,"Abur et al. (2014) N=7; HearID"
"183","Abur_2014",4476.56005859375,0.570856563140487,"Abur et al. (2014) N=7; HearID"
"184","Abur_2014",4500,0.568152769273797,"Abur et al. (2014) N=7; HearID"
"185","Abur_2014",4523.43994140625,0.556534067316111,"Abur et al. (2014) N=7; HearID"
"186","Abur_2014",4546.8798828125,0.55572436152156,"Abur et al. (2014) N=7; HearID"
"187","Abur_2014",4570.31005859375,0.550260595457498,"Abur et al. (2014) N=7; HearID"
"188","Abur_2014",4593.75,0.540169474170652,"Abur et al. (2014) N=7; HearID"
"189","Abur_2014",4617.18994140625,0.543732938724895,"Abur et al. (2014) N=7; HearID"
"190","Abur_2014",4640.6201171875,0.528828146672526,"Abur et al. (2014) N=7; HearID"
"191","Abur_2014",4664.06005859375,0.519025796807783,"Abur et al. (2014) N=7; HearID"
"192","Abur_2014",4687.5,0.516743685340855,"Abur et al. (2014) N=7; HearID"
"193","Abur_2014",4710.93994140625,0.502254070454212,"Abur et al. (2014) N=7; HearID"
"194","Abur_2014",4734.3798828125,0.500474146112453,"Abur et al. (2014) N=7; HearID"
"195","Abur_2014",4757.81005859375,0.484676837709971,"Abur et al. (2014) N=7; HearID"
"196","Abur_2014",4781.25,0.485009010014839,"Abur et al. (2014) N=7; HearID"
"197","Abur_2014",4804.68994140625,0.470940464652728,"Abur et al. (2014) N=7; HearID"
"198","Abur_2014",4828.1201171875,0.469807489536876,"Abur et al. (2014) N=7; HearID"
"199","Abur_2014",4851.56005859375,0.455561358676574,"Abur et al. (2014) N=7; HearID"
"200","Abur_2014",4875,0.444652570335758,"Abur et al. (2014) N=7; HearID"
"201","Abur_2014",4898.43994140625,0.439230816590405,"Abur et al. (2014) N=7; HearID"
"202","Abur_2014",4921.8798828125,0.426480545846442,"Abur et al. (2014) N=7; HearID"
"203","Abur_2014",4945.31005859375,0.419204035048308,"Abur et al. (2014) N=7; HearID"
"204","Abur_2014",4968.75,0.410536542881367,"Abur et al. (2014) N=7; HearID"
"205","Abur_2014",4992.18994140625,0.400339605944599,"Abur et al. (2014) N=7; HearID"
"206","Abur_2014",5015.6201171875,0.40192138954461,"Abur et al. (2014) N=7; HearID"
"207","Abur_2014",5039.06005859375,0.384105788343478,"Abur et al. (2014) N=7; HearID"
"208","Abur_2014",5062.5,0.373547316117342,"Abur et al. (2014) N=7; HearID"
"209","Abur_2014",5085.93994140625,0.374321503099054,"Abur et al. (2014) N=7; HearID"
"210","Abur_2014",5109.3798828125,0.364471265832287,"Abur et al. (2014) N=7; HearID"
"211","Abur_2014",5132.81005859375,0.357538187454,"Abur et al. (2014) N=7; HearID"
"212","Abur_2014",5156.25,0.344701329192017,"Abur et al. (2014) N=7; HearID"
"213","Abur_2014",5179.68994140625,0.339966016100059,"Abur et al. (2014) N=7; HearID"
"214","Abur_2014",5203.1201171875,0.335727083518408,"Abur et al. (2014) N=7; HearID"
"215","Abur_2014",5226.56005859375,0.331907077172641,"Abur et al. (2014) N=7; HearID"
"216","Abur_2014",5250,0.326621112521998,"Abur et al. (2014) N=7; HearID"
"217","Abur_2014",5273.43994140625,0.313336994704725,"Abur et al. (2014) N=7; HearID"
"218","Abur_2014",5296.8798828125,0.326674651516991,"Abur et al. (2014) N=7; HearID"
"219","Abur_2014",5320.31005859375,0.323091442052405,"Abur et al. (2014) N=7; HearID"
"220","Abur_2014",5343.75,0.304754199871663,"Abur et al. (2014) N=7; HearID"
"221","Abur_2014",5367.18994140625,0.296995837154777,"Abur et al. (2014) N=7; HearID"
"222","Abur_2014",5390.6201171875,0.300467760616177,"Abur et al. (2014) N=7; HearID"
"223","Abur_2014",5414.06005859375,0.296043200905673,"Abur et al. (2014) N=7; HearID"
"224","Abur_2014",5437.5,0.301648380657181,"Abur et al. (2014) N=7; HearID"
"225","Abur_2014",5460.93994140625,0.284542761207017,"Abur et al. (2014) N=7; HearID"
"226","Abur_2014",5484.3798828125,0.302268213457103,"Abur et al. (2014) N=7; HearID"
"227","Abur_2014",5507.81005859375,0.277350922748663,"Abur et al. (2014) N=7; HearID"
"228","Abur_2014",5531.25,0.306682258194616,"Abur et al. (2014) N=7; HearID"
"229","Abur_2014",5554.68994140625,0.301678538067959,"Abur et al. (2014) N=7; HearID"
"230","Abur_2014",5578.1201171875,0.0652417767424743,"Abur et al. (2014) N=7; HearID"
"231","Abur_2014",5601.56005859375,0.278888419367979,"Abur et al. (2014) N=7; HearID"
"232","Abur_2014",5625,0.289719281371596,"Abur et al. (2014) N=7; HearID"
"233","Abur_2014",5648.43994140625,0.274712176831049,"Abur et al. (2014) N=7; HearID"
"234","Abur_2014",5671.8798828125,0.275970920267905,"Abur et al. (2014) N=7; HearID"
"235","Abur_2014",5695.31005859375,0.27568347811791,"Abur et al. (2014) N=7; HearID"
"236","Abur_2014",5718.75,0.272170025538545,"Abur et al. (2014) N=7; HearID"
"237","Abur_2014",5742.18994140625,0.278811482528528,"Abur et al. (2014) N=7; HearID"
"238","Abur_2014",5765.6201171875,0.268190993080024,"Abur et al. (2014) N=7; HearID"
"239","Abur_2014",5789.06005859375,0.272630383433817,"Abur et al. (2014) N=7; HearID"
"240","Abur_2014",5812.5,0.257485449601095,"Abur et al. (2014) N=7; HearID"
"241","Abur_2014",5835.93994140625,0.258664160725921,"Abur et al. (2014) N=7; HearID"
"242","Abur_2014",5859.3798828125,0.255063271603387,"Abur et al. (2014) N=7; HearID"
"243","Abur_2014",5882.81005859375,0.259252874103516,"Abur et al. (2014) N=7; HearID"
"244","Abur_2014",5906.25,0.262055389677867,"Abur et al. (2014) N=7; HearID"
"245","Abur_2014",5929.68994140625,0.260278675661877,"Abur et al. (2014) N=7; HearID"
"246","Abur_2014",5953.1201171875,0.247760209559495,"Abur et al. (2014) N=7; HearID"
"247","Abur_2014",5976.56005859375,0.241288437302882,"Abur et al. (2014) N=7; HearID"
"248","Abur_2014",6000,0.260866387335714,"Abur et al. (2014) N=7; HearID"
"249","Feeney_2017",250,0.07035396965051,"Feeney et al. (2017) N=33; preTitan"
"250","Feeney_2017",280,0.106104465087854,"Feeney et al. (2017) N=33; preTitan"
"251","Feeney_2017",310,0.137159566618033,"Feeney et al. (2017) N=33; preTitan"
"252","Feeney_2017",350,0.12991821510536,"Feeney et al. (2017) N=33; preTitan"
"253","Feeney_2017",400,0.155966836133944,"Feeney et al. (2017) N=33; preTitan"
"254","Feeney_2017",450,0.200379803155044,"Feeney et al. (2017) N=33; preTitan"
"255","Feeney_2017",500,0.222625893789164,"Feeney et al. (2017) N=33; preTitan"
"256","Feeney_2017",560,0.24358705026802,"Feeney et al. (2017) N=33; preTitan"
"257","Feeney_2017",630,0.309753414405202,"Feeney et al. (2017) N=33; preTitan"
"258","Feeney_2017",710,0.316066838679927,"Feeney et al. (2017) N=33; preTitan"
"259","Feeney_2017",790,0.338837589846183,"Feeney et al. (2017) N=33; preTitan"
"260","Feeney_2017",890,0.410050641270537,"Feeney et al. (2017) N=33; preTitan"
"261","Feeney_2017",1000,0.404179391339004,"Feeney et al. (2017) N=33; preTitan"
"262","Feeney_2017",1120,0.384002799331765,"Feeney et al. (2017) N=33; preTitan"
"263","Feeney_2017",1260,0.399198705465168,"Feeney et al. (2017) N=33; preTitan"
"264","Feeney_2017",1410,0.428749309087704,"Feeney et al. (2017) N=33; preTitan"
"265","Feeney_2017",1590,0.356966397159274,"Feeney et al. (2017) N=33; preTitan"
"266","Feeney_2017",1780,0.354738626571559,"Feeney et al. (2017) N=33; preTitan"
"267","Feeney_2017",2000,0.40584686412463,"Feeney et al. (2017) N=33; preTitan"
"268","Feeney_2017",2240,0.414865035076361,"Feeney et al. (2017) N=33; preTitan"
"269","Feeney_2017",2520,0.429270600933315,"Feeney et al. (2017) N=33; preTitan"
"270","Feeney_2017",2830,0.498004696689317,"Feeney et al. (2017) N=33; preTitan"
"271","Feeney_2017",3170,0.537802935304011,"Feeney et al. (2017) N=33; preTitan"
"272","Feeney_2017",3560,0.573620104940193,"Feeney et al. (2017) N=33; preTitan"
"273","Feeney_2017",4000,0.619856433739432,"Feeney et al. (2017) N=33; preTitan"
"274","Feeney_2017",4490,0.629776499028049,"Feeney et al. (2017) N=33; preTitan"
"275","Feeney_2017",5040,0.587505161133367,"Feeney et al. (2017) N=33; preTitan"
"276","Feeney_2017",5660,0.546869676035805,"Feeney et al. (2017) N=33; preTitan"
"277","Feeney_2017",6350,0.433477806923937,"Feeney et al. (2017) N=33; preTitan"
"278","Feeney_2017",7130,0.363848959594047,"Feeney et al. (2017) N=33; preTitan"
"279","Feeney_2017",8000,0.352410402874194,"Feeney et al. (2017) N=33; preTitan"
"280","Groon_2015",105.470001220703,0.104729667660736,"Groon et al. (2015) N=21; Other"
"281","Groon_2015",111.330001831055,0.106537998786994,"Groon et al. (2015) N=21; Other"
"282","Groon_2015",117.190002441406,0.108431761463483,"Groon et al. (2015) N=21; Other"
"283","Groon_2015",123.050003051758,0.110407333643663,"Groon et al. (2015) N=21; Other"
"284","Groon_2015",128.910003662109,0.112466143887667,"Groon et al. (2015) N=21; Other"
"285","Groon_2015",134.770004272461,0.114601618299882,"Groon et al. (2015) N=21; Other"
"286","Groon_2015",140.630004882812,0.116814905688876,"Groon et al. (2015) N=21; Other"
"287","Groon_2015",146.479995727539,0.119107000707161,"Groon et al. (2015) N=21; Other"
"288","Groon_2015",152.339996337891,0.121465952800853,"Groon et al. (2015) N=21; Other"
"289","Groon_2015",158.199996948242,0.12389828477587,"Groon et al. (2015) N=21; Other"
"290","Groon_2015",164.059997558594,0.126400619035675,"Groon et al. (2015) N=21; Other"
"291","Groon_2015",169.919998168945,0.128968238298382,"Groon et al. (2015) N=21; Other"
"292","Groon_2015",175.779998779297,0.13160081012618,"Groon et al. (2015) N=21; Other"
"293","Groon_2015",181.639999389648,0.13429804784911,"Groon et al. (2015) N=21; Other"
"294","Groon_2015",187.5,0.137053428306466,"Groon et al. (2015) N=21; Other"
"295","Groon_2015",193.360000610352,0.13986719115859,"Groon et al. (2015) N=21; Other"
"296","Groon_2015",199.220001220703,0.142741142639092,"Groon et al. (2015) N=21; Other"
"297","Groon_2015",205.080001831055,0.145665238300959,"Groon et al. (2015) N=21; Other"
"298","Groon_2015",210.940002441406,0.148642427509739,"Groon et al. (2015) N=21; Other"
"299","Groon_2015",216.800003051758,0.151672618374938,"Groon et al. (2015) N=21; Other"
"300","Groon_2015",222.660003662109,0.15474928631669,"Groon et al. (2015) N=21; Other"
"301","Groon_2015",228.520004272461,0.157874334780943,"Groon et al. (2015) N=21; Other"
"302","Groon_2015",234.380004882812,0.161041095498062,"Groon et al. (2015) N=21; Other"
"303","Groon_2015",240.229995727539,0.164253095430987,"Groon et al. (2015) N=21; Other"
"304","Groon_2015",246.089996337891,0.167506238889127,"Groon et al. (2015) N=21; Other"
"305","Groon_2015",251.949996948242,0.170797240521227,"Groon et al. (2015) N=21; Other"
"306","Groon_2015",257.809997558594,0.174131093990235,"Groon et al. (2015) N=21; Other"
"307","Groon_2015",263.670013427734,0.177495999705224,"Groon et al. (2015) N=21; Other"
"308","Groon_2015",269.529998779297,0.180898524111225,"Groon et al. (2015) N=21; Other"
"309","Groon_2015",275.390014648438,0.184333903803712,"Groon et al. (2015) N=21; Other"
"310","Groon_2015",281.25,0.187802286375137,"Groon et al. (2015) N=21; Other"
"311","Groon_2015",287.109985351562,0.191300761841592,"Groon et al. (2015) N=21; Other"
"312","Groon_2015",292.970001220703,0.194827426047552,"Groon et al. (2015) N=21; Other"
